City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Buala,SB,77.41,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
2,Busselton,AU,57.16,broken clouds,-33.65,115.3333,Observatory Guest House
5,Tres Arroyos,AR,71.4,broken clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
6,Belyy Yar,RU,53.49,clear sky,53.6039,91.3903,Pasportnyy Stol
7,Port Hardy,CA,44.6,light intensity shower rain,50.6996,-127.4199,Airport Inn-Port Hardy
10,Mataura,NZ,51.37,overcast clouds,-46.1927,168.8643,Ellie's Villa
12,Bavaniste,RS,64.85,clear sky,44.8189,20.8758,Ivan
14,Bluff,NZ,54.97,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
15,Cape Town,ZA,65.1,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
16,Saint George,US,52.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
20,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Emerald,AU,77.14,scattered clouds,-23.5333,148.1667,The Irish Village
22,Mar Del Plata,AR,68.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
23,Chuy,UY,70.65,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
24,Dehloran,IR,85.05,broken clouds,32.6941,47.2679,کافه گیم استورم
25,Caraguatatuba,BR,80.4,overcast clouds,-23.6338,-45.4899,Cibele Cass
26,Arraial Do Cabo,BR,80.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
29,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
30,Kilinochchi,LK,78.85,broken clouds,9.3961,80.3982,Solaivanam Guest House
33,Jian,CN,60.01,overcast clouds,27.1172,114.9793,Luling International Hotel
34,Port Elizabeth,ZA,73.09,clear sky,-33.918,25.5701,39 On Nile Guest House
36,Ponta Do Sol,PT,63.72,broken clouds,32.6667,-17.1,Hotel do Campo
41,Nizwa,OM,86.43,clear sky,22.9333,57.5333,Orient Apartments
42,Rikitea,PF,78.31,clear sky,-23.1203,-134.9692,People ThankYou
44,Acapulco,MX,73.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
45,Mount Gambier,AU,57.11,overcast clouds,-37.8333,140.7667,The Commodore
49,Jamestown,US,54.95,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
50,Saint-Pierre,RE,80.29,light rain,-21.3393,55.4781,Lindsey Hôtel
52,Lorengau,PG,82.49,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
54,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
55,Surt,LY,68.86,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
56,Viedma,AR,75.54,broken clouds,-40.8135,-62.9967,Hotel Cristal
58,Atuona,PF,78.93,light rain,-9.8,-139.0333,Villa Enata
59,Broken Hill,AU,65.91,few clouds,-31.95,141.4333,Royal Exchange Hotel
60,Muros,ES,67.68,clear sky,42.7762,-9.0603,Apartment Av. Castelao
62,Kapaa,US,71.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Hualmay,PE,72.95,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
64,Morant Bay,JM,85.71,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
65,Bredasdorp,ZA,67.15,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
67,Port-Gentil,GA,85.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
69,Trincomalee,LK,81.68,few clouds,8.5711,81.2335,Welcombe Hotel
