City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,-9.38,70,100,4.61,overcast clouds
1,Buala,SB,-8.145,159.5921,77.41,92,100,5.64,moderate rain
2,Busselton,AU,-33.65,115.3333,57.16,77,57,8.63,broken clouds
3,Torbay,CA,47.6666,-52.7314,40.75,93,100,5.75,light rain
4,Honningsvag,NO,70.9821,25.9704,31.75,64,40,25.32,scattered clouds
5,Tres Arroyos,AR,-38.3739,-60.2798,71.4,28,70,18.72,broken clouds
6,Belyy Yar,RU,53.6039,91.3903,53.49,74,0,4.47,clear sky
7,Port Hardy,CA,50.6996,-127.4199,44.6,87,75,9.22,light intensity shower rain
8,College,US,64.8569,-147.8028,11.23,78,100,0.0,light snow
9,Khorinsk,RU,52.1657,109.7726,21.58,59,97,2.28,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,51.37,97,100,8.81,overcast clouds
11,Erenhot,CN,43.6475,111.9767,41.94,26,100,10.04,light rain
12,Bavaniste,RS,44.8189,20.8758,64.85,31,0,4.21,clear sky
13,Ndele,CF,8.4109,20.6473,87.44,41,97,5.59,overcast clouds
14,Bluff,NZ,-46.6,168.3333,54.97,76,100,28.3,overcast clouds
15,Cape Town,ZA,-33.9258,18.4232,65.1,73,75,12.66,light rain
16,Saint George,US,37.1041,-113.5841,52.39,30,0,5.75,clear sky
17,Hammerfest,NO,70.6634,23.6821,27.05,80,40,34.52,scattered clouds
18,Batagay,RU,67.6333,134.6333,-16.17,100,37,0.63,scattered clouds
19,Severo-Kurilsk,RU,50.6789,156.125,31.37,65,1,4.16,clear sky
20,Puerto Ayora,EC,-0.7393,-90.3518,80.56,90,72,1.01,broken clouds
21,Emerald,AU,-23.5333,148.1667,77.14,61,30,14.97,scattered clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,68.88,47,0,20.71,clear sky
23,Chuy,UY,-33.6971,-53.4616,70.65,32,0,2.15,clear sky
24,Dehloran,IR,32.6941,47.2679,85.05,12,56,16.31,broken clouds
25,Caraguatatuba,BR,-23.6338,-45.4899,80.4,83,99,4.94,overcast clouds
26,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,89,75,17.27,broken clouds
27,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,70,0,11.18,clear sky
28,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,69,40,5.75,scattered clouds
29,Vaini,TO,-21.2,-175.2,71.76,100,20,3.44,few clouds
30,Kilinochchi,LK,9.3961,80.3982,78.85,82,73,6.2,broken clouds
31,Ushuaia,AR,-54.8,-68.3,35.26,100,75,17.27,sleet
32,Chapais,CA,49.7834,-74.8492,26.38,68,40,4.0,scattered clouds
33,Jian,CN,27.1172,114.9793,60.01,78,93,2.26,overcast clouds
34,Port Elizabeth,ZA,-33.918,25.5701,73.09,52,0,21.85,clear sky
35,Qaanaaq,GL,77.484,-69.3632,16.45,90,91,2.17,overcast clouds
